,uniqueID,duration,date,drugName,review,rating,upvotes,drug,page
0,jwillou,Taken for less than 1 month,"February 27, 2023",Wegovy (semaglutide),I have been taking Wegovy for 1 week and 2 days. Only had the .25 dosage. I have had no side effects and I have lost 8lbs. I am hoping as I increase the dosage I remain free of side effects and the weight continues to fall off. I will continue to leave feedback so people can see how it is working and hopefully it will help them make a decision. I almost didn't go through with the first injection because of all the negative reviews. I am glad that I did give it a try. If I start to get nasty side effects I will ask my doctor if I can stay at the dosage prior where there were none. I am wanting to loose 100lbs. I started at 250 @ 5'4,10.0,622,semaglutide,1
1,Slow...,Taken for 1 to 6 months,"April 3, 2023",Wegovy (semaglutide),"Starting week 9 with the second injection of 1 mg. I have lost 24 pounds in 8 weeks. The side effects happen about 3 - 4 days a week. The first weekend on .25 mg was the worst! I really thought I needed my last rites! I have had headaches, nausea, vomiting, and bowel issues but not like the first-week episode. I try to eat light the day of the shot and take it at night because it makes me tired. You have to stay positive and just buy meds that will help with side effects because the side effects will probably always happen a couple of days a week. Try to drink 1/2 gallon of water a day and stay away from red meat, fried food, fast food, (most) dairy and sugar. If you don’t you will feel sick from eating that stuff. Also only eating one cup of food every couple of hours has made a huge difference in the nausea. Stock up on SF ice pops and SF Gatorade. I am so grateful that I got Wegovy with my insurance and when I want to quit I just remember how many people would love the opportunity.",,216,semaglutide,1
2,KS in...,Taken for 1 to 6 months,"April 18, 2023",Wegovy (semaglutide),Tomorrow I will take my 3rd shot of .5mg (previously took 3 weeks of .25mg but messed up one of the needles so moved up after only 3 weeks at that amount). I have had very minimal side effects in the 5 weeks I've been on it (lost 9.5 pounds). The side effects I get are headaches if I don't drink enough water - WATER IS KEY -- and nausea if I don't eat enough protein. 5 small protein-based meals a day seem to do the trick. Have not suffered any of the other things people talk about. I've noticed my clothes are more loose fitting than a 9-pound weight loss would normally warrant. Everyone is different - and people tend to post complaints more than praises... so don't get too stressed assuming you'll have side effects. Most people don't. I'm glad I'm on this journey.,10.0,167,semaglutide,1
3,Smithy...,Taken for 1 to 6 months,"March 14, 2023",Ozempic (semaglutide),"I was hesitant to try Ozempic for weight loss (need to lose 30 lbs) because I have a lot of kids/responsibilities and don't have the time to be nauseous or debilitating diarrhea, etc. After keeping the pen in the fridge for weeks, I decided to risk an injection and I'm so happy to say I've had zero side effects except a disinterest in food. I'm on week six of the .25 dose because its enough for me and I don't see a reason to increase the dose. My lack of interest in food is liberating! For the first time in 30 years I don't go to bed kicking myself for what I've eaten or making promises to myself to make amends for overeating. Zero sugar cravings...food isn't a reward or pleasure anymore. I'm never ravenous so I make good, calm choices about what I eat. This has been life changing and a complete shift in perspective. Obviously some people have terrible side effects, but I've had none (not even a headache!).",10.0,231,semaglutide,1
4,Philly,Taken for 6 months to 1 year,"February 6, 2022",Wegovy (semaglutide),"6 months. -65 pounds. Hypertension gone. Pre Diabetes gone. Sleep apnea gone. Lower leg skin breakdown gone. Slow progress now. I must fight return of old eating habits. Wegovy is not for wimps. But if you really want to lose weight, this is the way to go. This is like bariatric surgery in a small needle.",10.0,709,semaglutide,1
5,Lovew...,Taken for 1 to 2 years,"November 5, 2022",Wegovy (semaglutide),"I started at a size XXL/pants size 16 and 213lbs. After a little over a year, I am now 125lbs and a size small/pants size 2. This drug literally reset my entire body chemistry and metabolism. I never dieted nor exercised the past year. I don’t want to lose anymore weight, so I just went down to a 1mg half dose to maintain my weight loss. I am so grateful for this medicine!",10.0,356,semaglutide,1
6,KJF,Taken for 1 to 6 months,"September 19, 2021",Wegovy (semaglutide),"I am currently on my 9th injection today, being my 8th full week being on Wegovy. I have lost a total of 40 pounds so far. Appetite is definitely curbed. Sunday’s when I take the injection and it makes me tired. A lot of gas and the occasional runs, but the weight loss is worth the side effects.",9.0,609,semaglutide,1
7,Julie,Taken for less than 1 month,"March 20, 2023",Wegovy (semaglutide),"I've been on Wegovy for 3 weeks now. My biggest regret is that I let the negative reviews scare me from taking it for about 4 weeks. I finally decided to just do it and boy am I glad I did! This stuff is magic! It has completely curbed my appetite and I have had few side effects - mostly a metallic taste in my mouth, and increased thirst. Some very minor stomach upset but nothing that can't be dealt with. I have definitely lost weight but I'm not keeping track yet. I started with a 0.25 mg dose and will move to the 0.5 mg dose after the 4th week. If you're worried about side effects, just know that it's different for everyone and you won't know what your experience will be like until you try it.",10.0,127,semaglutide,1
8,LCMel,Taken for 1 to 6 months,"March 18, 2022",Wegovy (semaglutide),"Wegovy has absolutely curbed my appetite at the .25 dose, I definitely do not feel nearly as hungry as I used to. I will eat maybe 1/3 to 1/2 of what used to be a normal portion for me and get signals to stop. It has not made me sick at all unlike other reviews. I think it's a real godsend for me with COVID and menopausal weight gain.",10.0,414,semaglutide,1
9,Jenni...,Taken for 1 to 6 months,"April 1, 2023",Ozempic (semaglutide),"I started Ozempic on 2/22/23 weighing 216 lbs as of today 4/1/2023 I am 191.2 so just about 25 lbs in 5.5 weeks!! I started out at .25 for 4 weeks then moved to .5 last week. I've been nauseous maybe 4 times, I’ve gotten a few headaches and kinda backed up about 3 days a week. I started taking magnesium at night before bed and that really helped me get more regular. I’m barely hungry and need to force myself to eat. Anyways I’m really excited and I’m looking forward to summer!",10.0,110,semaglutide,1
